id,anio,mun,estratos,sexo,edad,total,total_low,total_upp,dim,nomgeo
30,2015.0,3.0,Pobreza alta,Mujer,60 y mas,2706.0,180974939985000.0,360225060015000.0,Vivienda,Coyoacán
31,2015.0,3.0,Pobreza alta,Mujer,No especificado,68.0,-163808262693000.0,152380826269000.0,Vivienda,Coyoacán
32,2015.0,3.0,Pobreza moderada,Hombre,12-29,15032.0,123276270925000.0,177363729075000.0,Vivienda,Coyoacán
33,2015.0,3.0,Pobreza moderada,Hombre,30-44,11394.0,932411939120000.0,13463880608800.0,Vivienda,Coyoacán
34,2015.0,3.0,Pobreza moderada,Hombre,45-59,8803.0,712322137005000.0,104827786299000.0,Vivienda,Coyoacán
35,2015.0,3.0,Pobreza moderada,Mujer,30-44,12931.0,104545410387000.0,154074589613000.0,Vivienda,Coyoacán
36,2015.0,3.0,Pobreza moderada,Mujer,45-59,10453.0,848323652510000.0,124227634749000.0,Vivienda,Coyoacán
37,2015.0,3.0,Pobreza moderada,Mujer,60 y mas,8485.0,699366073513000.0,997633926487000.0,Vivienda,Coyoacán
38,2015.0,3.0,Satisfaccion mínima,Hombre,0-11,4723.0,375234027011000.0,569365972989000.0,Vivienda,Coyoacán
39,2015.0,3.0,Satisfaccion mínima,Hombre,30-44,7904.0,668855955078000.0,911944044922000.0,Vivienda,Coyoacán
40,2015.0,3.0,Satisfaccion mínima,Hombre,45-59,6208.0,517771844491000.0,723828155509000.0,Vivienda,Coyoacán
41,2015.0,3.0,Satisfaccion mínima,Hombre,60 y mas,4567.0,37677910585400.0,53662089414600.0,Vivienda,Coyoacán
42,2015.0,3.0,Satisfaccion mínima,Hombre,No especificado,91.0,-525705488981000.0,182525705489000.0,Vivienda,Coyoacán
43,2015.0,3.0,Satisfaccion mínima,Mujer,No especificado,58.0,-142545526991000.0,130254552699000.0,Vivienda,Coyoacán
44,2015.0,3.0,Estrato medio,Hombre,30-44,20740.0,18425779813300.0,23054220186700.0,Vivienda,Coyoacán
45,2015.0,3.0,Estrato medio,Hombre,45-59,17815.0,152548773365000.0,203751226635000.0,Vivienda,Coyoacán
46,2015.0,3.0,Estrato medio,Hombre,60 y mas,14410.0,120027877555000.0,168172122445000.0,Vivienda,Coyoacán
47,2015.0,3.0,Estrato medio,Mujer,45-59,23260.0,201454592818000.0,263745407182000.0,Vivienda,Coyoacán
48,2015.0,3.0,Estrato alto,Hombre,30-44,11790.0,925646464500000.0,143235353550000.0,Vivienda,Coyoacán
49,2015.0,3.0,Estrato alto,Mujer,60 y mas,22703.0,190726575936000.0,263333424064000.0,Vivienda,Coyoacán
50,2015.0,4.0,Pobreza muy alta,Hombre,12-29,6772.0,498383800901000.0,856016199099000.0,Vivienda,Cuajimalpa de Morelos
51,2015.0,4.0,Pobreza muy alta,Hombre,30-44,3966.0,292778011883000.0,500421988117000.0,Vivienda,Cuajimalpa de Morelos
52,2015.0,4.0,Pobreza muy alta,Hombre,60 y mas,1004.0,554480479422000.0,145351952058000.0,Vivienda,Cuajimalpa de Morelos
53,2015.0,4.0,Pobreza muy alta,Mujer,0-11,5133.0,350033566334000.0,676566433666000.0,Vivienda,Cuajimalpa de Morelos
54,2015.0,4.0,Pobreza muy alta,Mujer,30-44,4273.0,320706620722000.0,533893379278000.0,Vivienda,Cuajimalpa de Morelos
55,2015.0,4.0,Pobreza alta,Hombre,0-11,2560.0,153784084039000.0,358215915961000.0,Vivienda,Cuajimalpa de Morelos
56,2015.0,4.0,Pobreza alta,Hombre,45-59,1484.0,10606048941600.0,19073951058400.0,Vivienda,Cuajimalpa de Morelos
57,2015.0,4.0,Pobreza alta,Hombre,60 y mas,565.0,326448822850000.0,803551177150000.0,Vivienda,Cuajimalpa de Morelos
58,2015.0,4.0,Pobreza alta,Mujer,60 y mas,658.0,43499080744800.0,88100919255200.0,Vivienda,Cuajimalpa de Morelos
59,2015.0,4.0,Pobreza moderada,Hombre,0-11,3684.0,289153341037000.0,447646658963000.0,Vivienda,Cuajimalpa de Morelos
60,2015.0,4.0,Pobreza moderada,Hombre,12-29,6134.0,451139790219000.0,775660209781000.0,Vivienda,Cuajimalpa de Morelos
61,2015.0,4.0,Pobreza moderada,Hombre,45-59,2537.0,177186616986000.0,330213383014000.0,Vivienda,Cuajimalpa de Morelos
62,2015.0,4.0,Pobreza moderada,Mujer,0-11,3487.0,26704096979900.0,43035903020100.0,Vivienda,Cuajimalpa de Morelos
63,2015.0,4.0,Pobreza moderada,Mujer,60 y mas,1621.0,11028825869500.0,21391174130500.0,Vivienda,Cuajimalpa de Morelos
64,2015.0,4.0,Satisfaccion mínima,Hombre,0-11,1647.0,113326503955000.0,216073496045000.0,Vivienda,Cuajimalpa de Morelos
65,2015.0,4.0,Satisfaccion mínima,Mujer,12-29,2453.0,164578962923000.0,326021037077000.0,Vivienda,Cuajimalpa de Morelos
66,2015.0,4.0,Estrato medio,Hombre,45-59,4494.0,313473743807000.0,585326256193000.0,Vivienda,Cuajimalpa de Morelos
67,2015.0,4.0,Estrato medio,Mujer,0-11,3380.0,216393592095000.0,459606407905000.0,Vivienda,Cuajimalpa de Morelos
68,2015.0,4.0,Estrato medio,Mujer,12-29,6945.0,467001764631000.0,921998235369000.0,Vivienda,Cuajimalpa de Morelos
69,2015.0,4.0,Estrato alto,Hombre,45-59,3772.0,211586160462000.0,542813839538000.0,Vivienda,Cuajimalpa de Morelos
70,2015.0,4.0,Estrato alto,Mujer,12-29,4457.0,230527987770000.0,660872012230000.0,Vivienda,Cuajimalpa de Morelos
71,2015.0,4.0,Estrato alto,Mujer,30-44,4845.0,272481968737000.0,696518031263000.0,Vivienda,Cuajimalpa de Morelos
72,2015.0,4.0,Estrato alto,Mujer,45-59,4167.0,261419610628000.0,571980389372000.0,Vivienda,Cuajimalpa de Morelos
73,2015.0,5.0,Pobreza muy alta,Hombre,0-11,27787.0,230197502201000.0,325542497799000.0,Vivienda,Gustavo A. Madero
74,2015.0,5.0,Pobreza muy alta,Hombre,45-59,11375.0,935224409216000.0,133977559078000.0,Vivienda,Gustavo A. Madero
75,2015.0,5.0,Pobreza alta,Hombre,0-11,12874.0,996787154406000.0,157801284559000.0,Vivienda,Gustavo A. Madero
76,2015.0,5.0,Pobreza alta,Mujer,30-44,15146.0,124389382896000.0,178530617104000.0,Vivienda,Gustavo A. Madero
77,2015.0,5.0,Pobreza alta,Mujer,45-59,11825.0,955131406811000.0,140986859319000.0,Vivienda,Gustavo A. Madero
78,2015.0,5.0,Pobreza alta,Mujer,60 y mas,5706.0,45569392284900.0,68550607715100.0,Vivienda,Gustavo A. Madero
79,2015.0,5.0,Pobreza alta,Mujer,No especificado,41.0,-198542907621000.0,101854290762000.0,Vivienda,Gustavo A. Madero
80,2015.0,5.0,Pobreza moderada,Hombre,12-29,39595.0,340909419489000.0,450990580511000.0,Vivienda,Gustavo A. Madero
81,2015.0,5.0,Pobreza moderada,Mujer,45-59,25260.0,217412399671000.0,287787600329000.0,Vivienda,Gustavo A. Madero
82,2015.0,5.0,Satisfaccion mínima,Hombre,12-29,21570.0,187905618868000.0,243494381132000.0,Vivienda,Gustavo A. Madero
83,2015.0,5.0,Satisfaccion mínima,Hombre,30-44,15774.0,136998801035000.0,178481198965000.0,Vivienda,Gustavo A. Madero
84,2015.0,5.0,Satisfaccion mínima,Mujer,12-29,20178.0,171336006576000.0,232223993424000.0,Vivienda,Gustavo A. Madero
85,2015.0,5.0,Satisfaccion mínima,Mujer,45-59,16225.0,142155033096000.0,182344966904000.0,Vivienda,Gustavo A. Madero
86,2015.0,5.0,Estrato medio,Hombre,12-29,39195.0,340652486144000.0,443247513856000.0,Vivienda,Gustavo A. Madero
87,2015.0,5.0,Estrato medio,Hombre,30-44,29138.0,254405117572000.0,328354882428000.0,Vivienda,Gustavo A. Madero
88,2015.0,5.0,Estrato medio,Mujer,0-11,14016.0,115405648618000.0,164914351382000.0,Vivienda,Gustavo A. Madero
89,2015.0,5.0,Estrato medio,Mujer,30-44,33862.0,294381805830000.0,382858194170000.0,Vivienda,Gustavo A. Madero
90,2015.0,5.0,Estrato medio,Mujer,60 y mas,33480.0,298631128496000.0,370968871504000.0,Vivienda,Gustavo A. Madero
91,2015.0,5.0,Estrato medio,Mujer,No especificado,18.0,-908395184283000.0,450839518428000.0,Vivienda,Gustavo A. Madero
92,2015.0,5.0,Estrato alto,Hombre,12-29,11155.0,887980653442000.0,134301934656000.0,Vivienda,Gustavo A. Madero
93,2015.0,5.0,Estrato alto,Hombre,60 y mas,17478.0,148999045947000.0,200560954053000.0,Vivienda,Gustavo A. Madero
94,2015.0,5.0,Estrato alto,Mujer,60 y mas,25177.0,220497484467000.0,283042515533000.0,Vivienda,Gustavo A. Madero
95,2015.0,5.0,Estrato alto,Mujer,No especificado,137.0,-365449704983000.0,310544970498000.0,Vivienda,Gustavo A. Madero
96,2015.0,6.0,Pobreza muy alta,Hombre,12-29,7229.0,479046293320000.0,966753706680000.0,Vivienda,Iztacalco
97,2015.0,6.0,Pobreza alta,Mujer,0-11,3894.0,247867650217000.0,530932349783000.0,Vivienda,Iztacalco
98,2015.0,6.0,Pobreza alta,Mujer,30-44,3987.0,267066195101000.0,530333804899000.0,Vivienda,Iztacalco
99,2015.0,6.0,Pobreza moderada,Hombre,0-11,7508.0,54548867285000.0,95611132715000.0,Vivienda,Iztacalco
100,2015.0,6.0,Pobreza moderada,Hombre,12-29,13984.0,109109094811000.0,170570905189000.0,Vivienda,Iztacalco
101,2015.0,6.0,Pobreza moderada,Hombre,60 y mas,4193.0,299946566161000.0,538653433839000.0,Vivienda,Iztacalco
102,2015.0,6.0,Pobreza moderada,Mujer,0-11,7858.0,577995006899000.0,993604993101000.0,Vivienda,Iztacalco
103,2015.0,6.0,Pobreza moderada,Mujer,30-44,11254.0,885172437131000.0,136562756287000.0,Vivienda,Iztacalco
104,2015.0,6.0,Pobreza moderada,Mujer,45-59,9858.0,7622434401400.0,12093565598600.0,Vivienda,Iztacalco
105,2015.0,6.0,Satisfaccion mínima,Mujer,0-11,4118.0,288359705269000.0,535240294731000.0,Vivienda,Iztacalco
106,2015.0,6.0,Satisfaccion mínima,Mujer,30-44,8219.0,644329576108000.0,999470423892000.0,Vivienda,Iztacalco
107,2015.0,6.0,Satisfaccion mínima,Mujer,45-59,7101.0,557286989939000.0,862913010061000.0,Vivienda,Iztacalco
108,2015.0,6.0,Satisfaccion mínima,Mujer,60 y mas,4109.0,293560406226000.0,528239593774000.0,Vivienda,Iztacalco
109,2015.0,6.0,Estrato medio,Hombre,12-29,13675.0,1167966291750.0,1567033708250.0,Vivienda,Iztacalco
110,2015.0,6.0,Estrato medio,Hombre,45-59,10712.0,889935016219000.0,125246498378000.0,Vivienda,Iztacalco
111,2015.0,6.0,Estrato medio,Hombre,No especificado,31.0,-397078312766000.0,101707831277000.0,Vivienda,Iztacalco
112,2015.0,6.0,Estrato medio,Mujer,45-59,13849.0,116993549966000.0,159986450034000.0,Vivienda,Iztacalco
113,2015.0,6.0,Estrato alto,Hombre,30-44,5132.0,372986598479000.0,653413401521000.0,Vivienda,Iztacalco
114,2015.0,6.0,Estrato alto,Hombre,60 y mas,4976.0,351498369138000.0,643701630862000.0,Vivienda,Iztacalco
115,2015.0,6.0,Estrato alto,Mujer,0-11,530.0,106033182147000.0,953966817853000.0,Vivienda,Iztacalco
116,2015.0,6.0,Estrato alto,Mujer,12-29,3181.0,209757483123000.0,426442516877000.0,Vivienda,Iztacalco
117,2015.0,6.0,Estrato alto,Mujer,No especificado,20.0,-401761701185000.0,801761701185000.0,Vivienda,Iztacalco
118,2015.0,7.0,Pobreza muy alta,Hombre,45-59,18729.0,16149432810900.0,21308567189100.0,Vivienda,Iztapalapa
119,2015.0,7.0,Pobreza muy alta,Mujer,45-59,20677.0,175326998633000.0,238213001367000.0,Vivienda,Iztapalapa
120,2015.0,7.0,Pobreza moderada,Hombre,0-11,42264.0,383159215812000.0,462120784188000.0,Vivienda,Iztapalapa
121,2015.0,7.0,Pobreza moderada,Hombre,30-44,51896.0,477289275609000.0,560630724391000.0,Vivienda,Iztapalapa
122,2015.0,7.0,Pobreza moderada,Hombre,45-59,37514.0,34387136383700.0,40640863616300.0,Vivienda,Iztapalapa
123,2015.0,7.0,Pobreza moderada,Hombre,60 y mas,23785.0,212501188817000.0,263198811183000.0,Vivienda,Iztapalapa
124,2015.0,7.0,Pobreza moderada,Mujer,0-11,39736.0,360379551125000.0,434340448875000.0,Vivienda,Iztapalapa
125,2015.0,7.0,Pobreza moderada,Mujer,45-59,43656.0,396475322647000.0,476644677353000.0,Vivienda,Iztapalapa
126,2015.0,7.0,Pobreza moderada,Mujer,60 y mas,28724.0,254161563712000.0,320318436288000.0,Vivienda,Iztapalapa
127,2015.0,7.0,Satisfaccion mínima,Hombre,30-44,23909.0,212190203057000.0,265989796943000.0,Vivienda,Iztapalapa
128,2015.0,7.0,Satisfaccion mínima,Mujer,30-44,27692.0,246185966965000.0,307654033035000.0,Vivienda,Iztapalapa
129,2015.0,7.0,Satisfaccion mínima,Mujer,60 y mas,17106.0,148770837221000.0,193349162779000.0,Vivienda,Iztapalapa
130,2015.0,7.0,Satisfaccion mínima,Mujer,No especificado,104.0,-675599829085000.0,275559982909000.0,Vivienda,Iztapalapa
131,2015.0,7.0,Estrato medio,Hombre,0-11,22276.0,190459947924000.0,255060052076000.0,Vivienda,Iztapalapa
132,2015.0,7.0,Estrato medio,Hombre,45-59,35941.0,31758956120100.0,40123043879900.0,Vivienda,Iztapalapa
133,2015.0,7.0,Estrato medio,Mujer,30-44,46678.0,419175768573000.0,514384231427000.0,Vivienda,Iztapalapa
134,2015.0,7.0,Estrato medio,Mujer,60 y mas,34321.0,302730711120000.0,383689288880000.0,Vivienda,Iztapalapa
135,2015.0,7.0,Estrato alto,Hombre,60 y mas,14855.0,1268649362610.0,1702350637390.0,Vivienda,Iztapalapa
136,2015.0,7.0,Estrato alto,Mujer,45-59,17463.0,148506751024000.0,200753248976000.0,Vivienda,Iztapalapa
137,2015.0,8.0,Pobreza muy alta,Hombre,12-29,9404.0,705820543125000.0,117497945688000.0,Vivienda,La Magdalena Contreras
138,2015.0,8.0,Pobreza muy alta,Hombre,60 y mas,1859.0,126747933659000.0,245052066341000.0,Vivienda,La Magdalena Contreras
139,2015.0,8.0,Pobreza muy alta,Mujer,12-29,11030.0,834193136618000.0,137180686338000.0,Vivienda,La Magdalena Contreras
140,2015.0,8.0,Pobreza muy alta,Mujer,30-44,7820.0,594180011449000.0,969819988551000.0,Vivienda,La Magdalena Contreras
141,2015.0,8.0,Pobreza alta,Hombre,30-44,3304.0,234757958180000.0,426042041820000.0,Vivienda,La Magdalena Contreras
142,2015.0,8.0,Pobreza alta,Hombre,45-59,2078.0,14637881298400.0,26922118701600.0,Vivienda,La Magdalena Contreras
143,2015.0,8.0,Pobreza alta,Mujer,0-11,2578.0,174667107503000.0,340932892497000.0,Vivienda,La Magdalena Contreras
144,2015.0,8.0,Pobreza alta,Mujer,12-29,4708.0,341953122967000.0,599646877033000.0,Vivienda,La Magdalena Contreras
145,2015.0,8.0,Pobreza moderada,Hombre,0-11,4883.0,368335968610000.0,608264031390000.0,Vivienda,La Magdalena Contreras
146,2015.0,8.0,Pobreza moderada,Hombre,60 y mas,3224.0,24580522444000.0,39899477556000.0,Vivienda,La Magdalena Contreras
147,2015.0,8.0,Pobreza moderada,Hombre,No especificado,21.0,-137143860352000.0,557143860352000.0,Vivienda,La Magdalena Contreras
148,2015.0,8.0,Pobreza moderada,Mujer,0-11,4531.0,334724025154000.0,571475974846000.0,Vivienda,La Magdalena Contreras
149,2015.0,8.0,Pobreza moderada,Mujer,30-44,8009.0,602363330531000.0,999436669469000.0,Vivienda,La Magdalena Contreras
150,2015.0,8.0,Pobreza moderada,Mujer,45-59,5186.0,407799100539000.0,629400899461000.0,Vivienda,La Magdalena Contreras
151,2015.0,8.0,Pobreza moderada,Mujer,60 y mas,3998.0,318413634538000.0,481186365462000.0,Vivienda,La Magdalena Contreras
152,2015.0,8.0,Pobreza moderada,Mujer,No especificado,21.0,-161769100598000.0,581769100598000.0,Vivienda,La Magdalena Contreras
153,2015.0,8.0,Satisfaccion mínima,Hombre,0-11,1703.0,123761302027000.0,216838697973000.0,Vivienda,La Magdalena Contreras
154,2015.0,8.0,Satisfaccion mínima,Hombre,30-44,2607.0,202110655645000.0,319289344355000.0,Vivienda,La Magdalena Contreras
155,2015.0,8.0,Estrato medio,Hombre,30-44,4378.0,338230989408000.0,537369010592000.0,Vivienda,La Magdalena Contreras
156,2015.0,8.0,Estrato medio,Hombre,45-59,4491.0,358558679227000.0,539641320773000.0,Vivienda,La Magdalena Contreras
157,2015.0,8.0,Estrato medio,Mujer,30-44,5270.0,411546891226000.0,642453108774000.0,Vivienda,La Magdalena Contreras
158,2015.0,8.0,Estrato alto,Hombre,12-29,2293.0,15934455728500.0,29925544271500.0,Vivienda,La Magdalena Contreras
159,2015.0,8.0,Estrato alto,Hombre,45-59,2578.0,181143378406000.0,334456621594000.0,Vivienda,La Magdalena Contreras
160,2015.0,8.0,Estrato alto,Hombre,60 y mas,2933.0,190647680946000.0,395952319054000.0,Vivienda,La Magdalena Contreras
161,2015.0,8.0,Estrato alto,Mujer,12-29,1943.0,136375570383000.0,252224429617000.0,Vivienda,La Magdalena Contreras
162,2015.0,8.0,Estrato alto,Mujer,45-59,3100.0,234517034734000.0,385482965266000.0,Vivienda,La Magdalena Contreras
163,2015.0,8.0,Estrato alto,Mujer,60 y mas,4120.0,318612617521000.0,505387382479000.0,Vivienda,La Magdalena Contreras
164,2015.0,9.0,Pobreza muy alta,Hombre,No especificado,9.0,-940172256688000.0,274017225669000.0,Vivienda,Milpa Alta
165,2015.0,9.0,Pobreza muy alta,Mujer,30-44,5431.0,380978732183000.0,705221267817000.0,Vivienda,Milpa Alta
166,2015.0,9.0,Pobreza muy alta,Mujer,60 y mas,1112.0,72530904806100.0,149869095194000.0,Vivienda,Milpa Alta
167,2015.0,9.0,Pobreza alta,Hombre,12-29,3592.0,235263419755000.0,483136580245000.0,Vivienda,Milpa Alta
168,2015.0,9.0,Pobreza alta,Hombre,30-44,2157.0,135541136723000.0,295858863277000.0,Vivienda,Milpa Alta
169,2015.0,9.0,Pobreza alta,Hombre,60 y mas,710.0,481754542332000.0,938245457668000.0,Vivienda,Milpa Alta
170,2015.0,9.0,Pobreza moderada,Hombre,12-29,5725.0,393655271306000.0,751344728694000.0,Vivienda,Milpa Alta
171,2015.0,9.0,Pobreza moderada,Hombre,45-59,2711.0,172762544962000.0,369437455038000.0,Vivienda,Milpa Alta
172,2015.0,9.0,Pobreza moderada,Hombre,60 y mas,1406.0,965557256191000.0,184644274381000.0,Vivienda,Milpa Alta
173,2015.0,9.0,Pobreza moderada,Mujer,12-29,5830.0,393084083820000.0,772915916180000.0,Vivienda,Milpa Alta
174,2015.0,9.0,Satisfaccion mínima,Hombre,12-29,2009.0,113377698759000.0,288422301241000.0,Vivienda,Milpa Alta
175,2015.0,9.0,Satisfaccion mínima,Hombre,45-59,1234.0,862628581666000.0,160537141833000.0,Vivienda,Milpa Alta
176,2015.0,9.0,Satisfaccion mínima,Mujer,0-11,843.0,501234824039000.0,118476517596000.0,Vivienda,Milpa Alta
177,2015.0,9.0,Satisfaccion mínima,Mujer,45-59,1525.0,981158021055000.0,206884197895000.0,Vivienda,Milpa Alta
178,2015.0,9.0,Satisfaccion mínima,Mujer,60 y mas,881.0,551257624495000.0,121074237551000.0,Vivienda,Milpa Alta
179,2015.0,9.0,Estrato medio,Hombre,12-29,2901.0,168911472146000.0,411288527854000.0,Vivienda,Milpa Alta
180,2015.0,9.0,Estrato medio,Hombre,30-44,1722.0,109502810863000.0,234897189137000.0,Vivienda,Milpa Alta
181,2015.0,9.0,Estrato medio,Mujer,0-11,1076.0,607679085655000.0,154432091434000.0,Vivienda,Milpa Alta
182,2015.0,9.0,Estrato alto,Hombre,0-11,135.0,51482959186900.0,218517040813000.0,Vivienda,Milpa Alta
183,2015.0,9.0,Estrato alto,Mujer,0-11,214.0,107685050289000.0,320314949711000.0,Vivienda,Milpa Alta
184,2015.0,9.0,Estrato alto,Mujer,30-44,488.0,262726295120000.0,713273704880000.0,Vivienda,Milpa Alta
185,2015.0,10.0,Pobreza muy alta,Hombre,12-29,24129.0,188787693334000.0,293792306666000.0,Vivienda,Álvaro Obregón
186,2015.0,10.0,Pobreza muy alta,Hombre,30-44,15514.0,120457144768000.0,189822855232000.0,Vivienda,Álvaro Obregón
187,2015.0,10.0,Pobreza muy alta,Hombre,60 y mas,3875.0,26946460821000.0,50553539179000.0,Vivienda,Álvaro Obregón
188,2015.0,10.0,Pobreza muy alta,Hombre,No especificado,19.0,-121137665113000.0,501137665113000.0,Vivienda,Álvaro Obregón
189,2015.0,10.0,Pobreza muy alta,Mujer,12-29,22727.0,18537541189300.0,26916458810700.0,Vivienda,Álvaro Obregón
190,2015.0,10.0,Pobreza muy alta,Mujer,No especificado,33.0,-151183168122000.0,811183168122000.0,Vivienda,Álvaro Obregón
191,2015.0,10.0,Pobreza alta,Hombre,0-11,7439.0,584456540229000.0,903343459771000.0,Vivienda,Álvaro Obregón
192,2015.0,10.0,Pobreza alta,Mujer,0-11,7458.0,583168605916000.0,908431394084000.0,Vivienda,Álvaro Obregón
193,2015.0,10.0,Pobreza alta,Mujer,12-29,12576.0,100530879822000.0,150989120178000.0,Vivienda,Álvaro Obregón
194,2015.0,10.0,Pobreza moderada,Hombre,0-11,14032.0,116794046243000.0,163845953757000.0,Vivienda,Álvaro Obregón
195,2015.0,10.0,Pobreza moderada,Hombre,30-44,20159.0,166744190577000.0,236435809423000.0,Vivienda,Álvaro Obregón
196,2015.0,10.0,Pobreza moderada,Hombre,45-59,12933.0,110819001890000.0,147840998110000.0,Vivienda,Álvaro Obregón
197,2015.0,10.0,Pobreza moderada,Hombre,60 y mas,9203.0,736787917080000.0,110381208292000.0,Vivienda,Álvaro Obregón
198,2015.0,10.0,Pobreza moderada,Mujer,12-29,23963.0,205123238934000.0,274136761066000.0,Vivienda,Álvaro Obregón
199,2015.0,10.0,Pobreza moderada,Mujer,30-44,21465.0,17860623785600.0,25069376214400.0,Vivienda,Álvaro Obregón
200,2015.0,10.0,Satisfaccion mínima,Hombre,45-59,8281.0,702589837135000.0,953610162865000.0,Vivienda,Álvaro Obregón
201,2015.0,10.0,Satisfaccion mínima,Hombre,60 y mas,5668.0,461889908596000.0,671710091404000.0,Vivienda,Álvaro Obregón
202,2015.0,10.0,Satisfaccion mínima,Hombre,No especificado,17.0,-202628357627000.0,542628357627000.0,Vivienda,Álvaro Obregón
203,2015.0,10.0,Satisfaccion mínima,Mujer,45-59,9965.0,857161457057000.0,113583854294000.0,Vivienda,Álvaro Obregón
204,2015.0,10.0,Satisfaccion mínima,Mujer,60 y mas,6794.0,544594565104000.0,814205434896000.0,Vivienda,Álvaro Obregón
205,2015.0,10.0,Estrato medio,Hombre,30-44,19015.0,158181240961000.0,222118759039000.0,Vivienda,Álvaro Obregón
206,2015.0,10.0,Estrato medio,Hombre,45-59,15733.0,131355370725000.0,183304629275000.0,Vivienda,Álvaro Obregón
207,2015.0,10.0,Estrato alto,Hombre,30-44,12267.0,877881837428000.0,157551816257000.0,Vivienda,Álvaro Obregón
208,2015.0,10.0,Estrato alto,Hombre,45-59,9958.0,737157534139000.0,125444246586000.0,Vivienda,Álvaro Obregón
209,2015.0,10.0,Estrato alto,Mujer,0-11,2480.0,120588254924000.0,375411745076000.0,Vivienda,Álvaro Obregón
210,2015.0,10.0,Estrato alto,Mujer,45-59,11333.0,883359701480000.0,138324029852000.0,Vivienda,Álvaro Obregón
211,2015.0,10.0,Estrato alto,Mujer,60 y mas,14927.0,122120358564000.0,176419641436000.0,Vivienda,Álvaro Obregón
